unique_id,ds,y
0,10/09/2007,325
0,10/10/2007,417
0,10/11/2007,556
0,10/12/2007,467
0,10/13/2007,430
0,10/14/2007,434
0,10/15/2007,434
0,10/16/2007,416
0,10/17/2007,465
0,10/18/2007,575
0,10/19/2007,432
0,10/20/2007,474
0,10/21/2007,436
0,10/22/2007,364
0,10/23/2007,359
0,10/24/2007,411
0,10/25/2007,490
0,10/26/2007,408
0,10/27/2007,379
0,10/28/2007,398
0,10/29/2007,410
0,10/30/2007,374
0,10/31/2007,401
0,11/01/2007,484
0,11/02/2007,445
0,11/03/2007,405
0,11/04/2007,396
0,11/05/2007,386
0,11/06/2007,468
0,11/07/2007,459
0,11/08/2007,506
0,11/09/2007,462
0,11/10/2007,404
0,11/11/2007,386
0,11/12/2007,365
0,11/13/2007,376
0,11/14/2007,454
0,11/15/2007,556
0,11/16/2007,419
0,11/17/2007,381
0,11/18/2007,386
0,11/19/2007,378
0,11/20/2007,374
0,11/21/2007,406
0,11/22/2007,495
0,11/23/2007,408
0,11/24/2007,376
0,11/25/2007,405
0,11/26/2007,388
0,11/27/2007,413
0,11/28/2007,426
0,11/29/2007,507
0,11/30/2007,528
0,12/01/2007,441
0,12/02/2007,378
0,12/03/2007,407
0,12/04/2007,403
0,12/05/2007,437
0,12/06/2007,552
0,12/07/2007,485
0,12/08/2007,436
0,12/09/2007,390
0,12/10/2007,434
0,12/11/2007,448
0,12/12/2007,464
0,12/13/2007,554
0,12/14/2007,462
0,12/15/2007,467
0,12/16/2007,441
0,12/17/2007,457
0,12/18/2007,422
0,12/19/2007,419
0,12/20/2007,524
0,12/21/2007,432
0,12/22/2007,453
0,12/23/2007,401
0,12/24/2007,455
0,12/25/2007,453
0,12/26/2007,453
0,12/27/2007,536
0,12/28/2007,480
0,12/29/2007,447
0,12/30/2007,445
0,12/31/2007,452
0,01/01/2008,452
0,01/02/2008,513
0,01/03/2008,569
0,01/04/2008,420
0,01/05/2008,406
0,01/06/2008,408
0,01/07/2008,382
0,01/08/2008,415
0,01/09/2008,463
0,01/10/2008,607
0,01/11/2008,502
0,01/12/2008,435
0,01/13/2008,397
0,01/14/2008,380
0,01/15/2008,405
0,01/16/2008,457
0,01/17/2008,521
0,01/18/2008,454
0,01/19/2008,428
0,01/20/2008,403
0,01/21/2008,385
0,01/22/2008,440
0,01/23/2008,437
0,01/24/2008,494
0,01/25/2008,424
0,01/26/2008,448
0,01/27/2008,469
0,01/28/2008,572
0,01/29/2008,710
0,01/30/2008,716
0,01/31/2008,626
0,02/01/2008,542
0,02/02/2008,417
0,02/03/2008,407
0,02/04/2008,380
0,02/05/2008,463
0,02/06/2008,478
0,02/07/2008,574
0,02/08/2008,504
0,02/09/2008,427
0,02/10/2008,473
0,02/11/2008,438
0,02/12/2008,470
